embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
25.0	32.0	0.8728544360231832	0.567885438708725	0.5559283587732149	0.661517177772654	0.612220428867881	0.40238752639272374	0.3174435601754101	0.3825950607604861	0.2954919639357115
25.0	64.0	0.8577240303165403	0.5793021996948969	0.566135815887718	0.6888632695411575	0.6400737837214665	0.435033295436089	0.3448107844729576	0.41089768718149744	0.32065856526852216
25.0	128.0	0.8114132857779759	0.5685251710053639	0.5597088984452531	0.6844362462531703	0.6272538621166706	0.45046288777001786	0.3513886633100536	0.42775382203057627	0.32951783614268915
25.0	256.0	0.7754681230494873	0.5603070715023867	0.5558338452814139	0.6715240949965414	0.6052109753285682	0.439418547994153	0.34391749228520385	0.4169345354762838	0.32340258722069776
25.0	300.0	0.8119984395898351	0.5610944343290193	0.5553612778224092	0.6876642840673276	0.6210744754438552	0.4495695955822641	0.34822153646256293	0.4243825950607605	0.3255194041552332
50.0	32.0	0.8525969683459652	0.5634073126322523	0.5470440905439251	0.6974406271616325	0.6511874567673507	0.43478967029397436	0.3468409939905798	0.4101136809094473	0.32026656213249705
50.0	64.0	0.793830806954971	0.5622262683923035	0.5365058362081188	0.67659672584736	0.6207516716624395	0.43113529316225435	0.34245574143251584	0.4116816934535476	0.32332418659349277
50.0	128.0	0.8471076683013821	0.5774814231583092	0.5676480317565332	0.7065252478671893	0.6493889785566059	0.45793405879486765	0.3630014617508527	0.43802430419443356	0.34425715405723245
50.0	256.0	0.8488631297369594	0.5717238324885586	0.5614101412976702	0.7207747290753977	0.6575513027438321	0.4720643170375183	0.3602403768068865	0.4462563700509604	0.3430811446491572
50.0	300.0	0.8471076683013821	0.5643915161655431	0.55148622465857	0.7265851971408808	0.6522019829375144	0.4765307779762872	0.35764170862433003	0.4506468051744414	0.33923951391611135
75.0	32.0	0.7067264823896567	0.5209881403474238	0.4988422097254383	0.6025824302513259	0.4676965644454692	0.42967354230956634	0.3008770505116128	0.41575852606820857	0.2840454723637789
75.0	64.0	0.8048372715113687	0.5678362285320604	0.5506356032323614	0.6667742679271386	0.585704403965875	0.455497807373721	0.3514698716907585	0.43449627597020773	0.32865542924343394
75.0	128.0	0.7778644672313866	0.5593720781457605	0.5509664004536647	0.6629467373760664	0.5886096379986165	0.4485950950138054	0.35244437225921715	0.4302626421011368	0.33328106624853
75.0	256.0	0.7787561301827909	0.5537129078293391	0.5451538207079061	0.6759511182845285	0.6063177311505649	0.4588273509826214	0.3580477505278545	0.4373970991767934	0.33704429635437083
75.0	300.0	0.8349308961212661	0.5659170316421436	0.556542696469921	0.7109061563292599	0.6358773345630621	0.48002273834659737	0.3621893779438038	0.45684045472363777	0.3449627597020776
100.0	32.0	0.5629736959429336	0.4422518576841691	0.4282878880960257	0.5494581507954808	0.37454461609407425	0.4177359103459477	0.24882247847977912	0.39364954919639356	0.22987063896511173
100.0	64.0	0.7662449843958984	0.5594704984990896	0.5401918623883559	0.6033663822919069	0.5027899469679502	0.4409615072275459	0.31979860321585185	0.4217953743629949	0.2986279890239122
100.0	128.0	0.8572224699063754	0.5689680625953447	0.5530929540191862	0.7065713626931058	0.6451925293982015	0.49464024687347735	0.3758323859022251	0.4724421795374363	0.3573500588004704
100.0	256.0	0.7813196611680785	0.5610452241523547	0.5467132933226218	0.6937514410883099	0.6186765044961955	0.4865194088029885	0.3754263439987007	0.45707565660525284	0.34739317914543316
100.0	300.0	0.7172313865358895	0.533438315043551	0.5262983790936157	0.6680654830528014	0.5858427484436246	0.4762871528341725	0.36210816956309894	0.4456291650333203	0.33743629949039594
25.0	32.0	0.8555227374052609	0.5756114364450569	0.5642455460516989	0.7162093613096611	0.6509107678118515	0.4811596556764658	0.3716907584862758	0.4585652685221482	0.35358682869462954
25.0	64.0	0.8709317877842175	0.5798435116382068	0.5629223571664855	0.7349319806317731	0.6777957113211898	0.48586974175734937	0.38427805749553356	0.462171697373579	0.3568012544100353
25.0	128.0	0.7935521622826571	0.5646375670488657	0.5603232361419592	0.708923218814849	0.6417800322803782	0.479535488062368	0.37558876076011044	0.4562916503332027	0.3534300274402195
25.0	256.0	0.8512316094516272	0.5744796023817725	0.5633476678795898	0.7289831680885405	0.6653908231496426	0.48530128309241516	0.37534513561799576	0.4635045080360643	0.35562524500196
25.0	300.0	0.8222525635309853	0.5676885980020668	0.5579603988469354	0.7183306433018215	0.6503112750749366	0.4870066590872178	0.3780250121812571	0.45934927479419835	0.34990199921599374
50.0	32.0	0.7921032099866251	0.5683283302987058	0.5572515476584282	0.6757666589808623	0.5995849665667512	0.4639434789670294	0.3592658762384278	0.44366914935319485	0.3373578988631909
50.0	64.0	0.7792019616584931	0.5590768170857734	0.55049383299466	0.6919990777034817	0.6183998155406963	0.4792106545395485	0.3758323859022251	0.4562916503332027	0.35084280674245394
50.0	128.0	0.7988742755238519	0.5708872594852615	0.5602759793960588	0.6979940050726309	0.6271155176389209	0.47880461263602403	0.3785934708461913	0.4524500196001568	0.34998039984319873
50.0	256.0	0.8456865804725814	0.568623591358693	0.559992438920656	0.7247406041042195	0.6464376296979479	0.4840019490011369	0.3736397596231931	0.4655429243433947	0.35397883183065465
50.0	300.0	0.8239801604993312	0.5576497219625018	0.5468078068144228	0.7200368918607333	0.6356006456075628	0.4939905798278382	0.3708786746792269	0.47314778518228146	0.3545276362210898
75.0	32.0	0.7620095853767276	0.5416564145465282	0.5311185671754644	0.6517408346783491	0.5263085081853816	0.46288777001786585	0.33287315250933897	0.43622108976871815	0.30693845550764404
75.0	64.0	0.764127284886313	0.5456424388563555	0.531780161618071	0.664560756283145	0.5609407424486973	0.4801039467273023	0.35682962481728114	0.46272050176401414	0.3390827126617013
75.0	128.0	0.8485566205974142	0.5859455735446091	0.5677898019942347	0.7152409499654139	0.6445930366612866	0.48944291050836447	0.38224784797791134	0.4671893375147001	0.35766366130929045
75.0	256.0	0.8198840838163174	0.5618817971556518	0.5476111714947308	0.7135347014065022	0.6364307124740604	0.48968653565047915	0.3785934708461913	0.46068208545668365	0.35178361426891414
75.0	300.0	0.8049765938475256	0.5551400029526106	0.5463824961013185	0.7105833525478441	0.6128660364307125	0.48741270099074224	0.3677927562124411	0.4658565268522148	0.34511956095648766
100.0	32.0	0.5341618368256799	0.4336400767678756	0.4191673361372336	0.6328798708784874	0.38053954346322344	0.47084619132694494	0.2588923176871853	0.45370442963543706	0.2333202665621325
100.0	64.0	0.8372993758359341	0.5724127749618622	0.5609375738386655	0.6749365921143647	0.5978787180078395	0.4796166964430729	0.35764170862433003	0.4594276754214034	0.33335946687573503
100.0	128.0	0.7908493089612126	0.5611436445056838	0.5449175369784036	0.6606871109061563	0.5639843209591884	0.4662985220074712	0.3535812895890856	0.4431987455899647	0.3280282242257938
100.0	256.0	0.7772793134195274	0.5669504453520988	0.5553140210765086	0.668895549919299	0.5780954576896472	0.4753938606464187	0.3616209192788696	0.45488043904351233	0.3411995295962368
100.0	300.0	0.8071221578243424	0.5541065892426554	0.5409952270686641	0.694028130043809	0.6082545538390592	0.4803475718694169	0.36909209030371937	0.4630341042728342	0.34778518228145827
25.0	32.0	0.824035889433794	0.5747256532650952	0.5597561551911535	0.6913073553147336	0.6160018445930366	0.46784148124086405	0.36316387851226245	0.4450019600156801	0.3390827126617013
25.0	64.0	0.8462438698172091	0.5871758279612224	0.5712868011908699	0.7168549688724926	0.6532165091076781	0.4833522819554978	0.3809485138866331	0.4625637005096041	0.35695805566444533
25.0	128.0	0.8454636647347302	0.5673933369420796	0.557724115117433	0.720451925293982	0.6540004611482592	0.48668182556439826	0.3789995127497158	0.46515092120736967	0.3552332418659349
25.0	256.0	0.8366306286223807	0.5737906599084691	0.5577713718633335	0.7150103758358313	0.6441318884021213	0.48302744843267825	0.3724216339126198	0.4675813406507252	0.35256762054096435
25.0	300.0	0.8639378065091395	0.567147286058757	0.5570152639289259	0.7357159326723541	0.6827761125201752	0.47856098749390935	0.3657625466948189	0.45848686789494314	0.34919639357114857
50.0	32.0	0.8475534997770843	0.5732493479651591	0.5590945607485469	0.7299054646068711	0.6649296748904773	0.4791294461588436	0.3687672567808998	0.46413171305370443	0.35891807134457077
50.0	64.0	0.8625167186803389	0.57369223955514	0.5594253579698502	0.7372838367535163	0.6783029744062716	0.47222673379892804	0.3688484651616047	0.45974127793022346	0.3515484123872991
50.0	128.0	0.869594293357111	0.583632695241376	0.5689712206417467	0.7445699792483284	0.6878487433709938	0.48465161604677603	0.3815981809322722	0.46687573500588003	0.36197569580556643
50.0	256.0	0.8490581810075791	0.5679346488853895	0.5528566702896839	0.7378833294904312	0.6628083928983168	0.487575117752152	0.3710410914406367	0.46930615444923557	0.351078008624069
50.0	300.0	0.809546366473473	0.5580926135524826	0.5437833750767922	0.7200368918607333	0.6363845976481439	0.48538249147312	0.3673867143089167	0.46248529988239906	0.3454331634653077
75.0	32.0	0.7888152028533214	0.5539097485359973	0.5353716743065072	0.6862347244639152	0.579893935900392	0.46808510638297873	0.3497644956959558	0.45574284594276754	0.32732261858094863
75.0	64.0	0.8860064645563976	0.5682791201220413	0.5617881952648741	0.7424948120820843	0.6807931750057643	0.48245898976774404	0.37047263277570247	0.4725205801646413	0.35970207761662093
75.0	128.0	0.8211937137761925	0.5753161753850696	0.5589527905108455	0.713258012451003	0.647406041042195	0.4732012343673867	0.3716095501055709	0.457781262250098	0.35225401803214423
75.0	256.0	0.7823506464556398	0.5683775404753703	0.5553140210765086	0.7002075167166244	0.6276227807240028	0.46784148124086405	0.367143089166802	0.4559780478243826	0.35123480987847905
75.0	300.0	0.7936636201515826	0.5723635647851976	0.5620244789943765	0.6999308277611253	0.6266082545538391	0.4727139840831574	0.37209680038980025	0.45715405723245783	0.35578204625637005
100.0	32.0	0.49033102987070887	0.4259140790315437	0.4200652143093427	0.49637998616555223	0.36107908692644686	0.3743706350495371	0.2302257592983596	0.3676205409643277	0.2231281850254802
100.0	64.0	0.7908771734284441	0.5579449830224891	0.5450593072161051	0.6567212358773346	0.5557758819460457	0.4615884359265876	0.3370959883059932	0.4522148177185418	0.3246569972559781
100.0	128.0	0.754541908158716	0.5495300428128537	0.5408534568309626	0.6537698870186766	0.55545307816463	0.45346759785609875	0.3390449894429105	0.4479027832222658	0.3278714229713838
100.0	256.0	0.730327686134641	0.5380148614733526	0.5289447568640423	0.6464376296979479	0.5590500345861195	0.4536300146175085	0.3454604515185967	0.4409251274010192	0.33218345746765976
100.0	300.0	0.8384696834596522	0.5665567639387825	0.5559756155191153	0.6981323495503804	0.6206594420106064	0.48854961832061067	0.3657625466948189	0.46860054880439045	0.3527244217953744
